joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-1.96126,0.620273,-1.24994,0.02627,1.94335,0.471886,-1.41876,0.218768,-1.66461,-0.619159,1.11635,-0.0265927,1.79849,-0.397687,0.997307,-0.0535568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138144,0.768262,-1.64298,-0.138457,0.771871,-1.63959,0.0617203,-0.762569,1.65007,-0.0618009,-0.768161,1.64779,0.138006,0.768279,-1.64291,-0.138319,0.771884,-1.63952,0.0616586,-0.762591,1.64999,-0.0617391,-0.768178,1.64771,-0.013135,-0.109384,0.0132963,0.0267784,0,0,0,0,
-0.912396,-2.17932,5.6784,-0.452983,0.888486,-2.66623,5.8094,-0.330621,-0.471651,2.04824,-5.82805,0.474445,0.429181,2.24226,-5.89738,0.436558,-0.834214,-2.06138,5.33243,-0.42699,0.814392,-2.5571,5.46195,-0.303221,-0.440317,1.94961,-5.47721,0.447101,0.40137,2.13782,-5.54847,0.411273,0.138372,0.76871,-1.64414,-0.138685,0.7725,-1.64075,0.0618911,-0.763026,1.6513,-0.0619704,-0.768661,1.64901,0.137315,0.768364,-1.64255,-0.137627,0.771952,-1.63918,0.06135,-0.762706,1.6496,-0.0614301,-0.768265,1.64733,0.226492,0.165311,-0.237222,-0.218279,0,0,0,0,
-1.5766,-3.65279,10.2916,-0.881148,1.50361,-3.97674,10.2415,-0.792779,-0.75265,3.27219,-10.5138,0.946014,0.693067,3.56152,-10.5737,0.896935,-1.49357,-3.57686,9.98046,-0.852009,1.43222,-4.00423,10.136,-0.771977,-0.713481,3.21503,-10.193,0.914575,0.660165,3.49693,-10.2567,0.858467,0.138614,0.769719,-1.64675,-0.13891,0.773633,-1.64341,0.0620076,-0.763948,1.65395,-0.0620687,-0.769656,1.65169,0.136624,0.76845,-1.64219,-0.136934,0.77202,-1.63883,0.0610414,-0.76282,1.6492,-0.0611211,-0.768351,1.64694,0.440574,0.396389,-0.473007,-0.448468,0,0,0,0,
-2.21596,-4.62919,14.3695,-1.3047,2.14254,-5.0726,14.5384,-1.25062,-1.0339,3.99954,-14.6478,1.40756,0.980031,4.396,-14.727,1.33871,-2.13665,-4.58187,14.0981,-1.28044,2.06467,-5.02418,14.2673,-1.2188,-0.998774,3.9699,-14.3695,1.37538,0.945144,4.35555,-14.4453,1.31302,0.138954,0.771013,-1.65044,-0.139229,0.775028,-1.64716,0.0621635,-0.765084,1.65771,-0.0622101,-0.770886,1.65547,0.135933,0.768536,-1.64182,-0.136242,0.772087,-1.63849,0.0607328,-0.762934,1.6488,-0.0608121,-0.768437,1.64656,0.652348,0.625308,-0.703781,-0.669353,0,0,0,0,
-2.81627,-5.22549,17.9453,-1.69355,2.73327,-5.70173,18.0969,-1.64417,-1.30325,4.35482,-18.2752,1.81906,1.24803,4.84931,-18.3622,1.73955,-2.73996,-5.19995,17.705,-1.66934,2.65698,-5.67504,17.8585,-1.62003,-1.26935,4.34722,-18.0268,1.78846,1.21413,4.83309,-18.114,1.71137,0.139366,0.772403,-1.65489,-0.139618,0.776512,-1.65166,0.0623517,-0.766258,1.66222,-0.0623837,-0.772172,1.66001,0.135243,0.768621,-1.64146,-0.13555,0.772155,-1.63815,0.0604242,-0.763048,1.64841,-0.0605031,-0.768523,1.64617,0.846773,0.822087,-0.909529,-0.869777,0,0,0,0,
-3.37974,-5.50608,21.0462,-2.03278,3.29012,-6.0336,21.1816,-1.97796,-1.55696,4.41258,-21.4132,2.16381,1.50008,4.99942,-21.5116,2.08174,-3.30551,-5.50086,20.8339,-2.01133,3.2164,-6.02331,20.9716,-1.95728,-1.5241,4.42293,-21.1982,2.14296,1.46752,5.00371,-21.2946,2.04994,0.139825,0.773757,-1.65982,-0.140055,0.77796,-1.65663,0.0625613,-0.76735,1.66722,-0.0625804,-0.77339,1.66504,0.134552,0.768707,-1.6411,-0.134857,0.772223,-1.6378,0.0601156,-0.763162,1.64801,-0.0601941,-0.768609,1.64579,1.01639,0.988981,-1.08191,-1.04087,0,0,0,0,
-3.90819,-5.52652,23.7018,-2.31371,3.81377,-6.10822,23.8178,-2.23942,-1.7955,4.22588,-24.104,2.45169,1.73734,4.90011,-24.2055,2.3541,-3.83882,-5.53738,23.5171,-2.2941,3.74459,-6.11246,23.6385,-2.23572,-1.7641,4.25216,-23.916,2.42857,1.70606,4.91749,-24.019,2.33435,0.140315,0.774983,-1.66501,-0.140523,0.779282,-1.66185,0.0627842,-0.768278,1.67247,-0.0627916,-0.774454,1.67032,0.133861,0.768793,-1.64074,-0.134165,0.77229,-1.63746,0.059807,-0.763276,1.64761,-0.0598851,-0.768695,1.6454,1.15685,1.11971,-1.22584,-1.17705,0,0,0,0,
-4.3795,-5.30587,25.8703,-2.52472,4.32433,-5.95581,26.1633,-2.46174,-1.9983,3.83542,-26.3732,2.67282,1.98276,4.59651,-26.6173,2.58985,-4.33085,-5.3778,25.8231,-2.51755,4.25525,-5.97655,26.0156,-2.45314,-1.9688,3.87443,-26.2161,2.65668,1.95306,4.62535,-26.4613,2.56928,0.140821,0.776032,-1.6703,-0.141006,0.780411,-1.66748,0.0630126,-0.768991,1.67779,-0.063011,-0.775308,1.67602,0.133171,0.768879,-1.64038,-0.133473,0.772358,-1.63711,0.0594984,-0.763391,1.64722,-0.0595761,-0.768782,1.64502,1.26236,1.23087,-1.33641,-1.29492,0,0,0,0,
-4.81213,-4.95345,27.6654,-2.6643,4.79922,-5.60791,27.877,-2.63132,-2.19483,3.28766,-28.2771,2.8365,2.20627,4.12313,-28.3981,2.72904,-4.77267,-4.99349,27.5595,-2.6583,4.73484,-5.64098,27.7518,-2.6234,-2.16441,3.33615,-28.1385,2.82409,2.18029,4.16074,-28.2542,2.72624,0.141325,0.776869,-1.67554,-0.141497,0.781304,-1.67233,0.0632356,-0.769456,1.68303,-0.0632382,-0.775917,1.68094,0.13248,0.768964,-1.64002,-0.132781,0.772426,-1.63677,0.0591898,-0.763505,1.64682,-0.0592671,-0.768868,1.64463,1.33215,1.31566,-1.41825,-1.36452,0,0,0,0,
-5.30836,-4.68421,29.5849,-2.77551,5.22577,-5.10981,29.3824,-2.74454,-2.41302,2.63273,-29.8519,2.95023,2.39093,3.66352,-30.063,2.81028,-5.24201,-4.71991,29.4694,-2.77238,5.16045,-5.15132,29.2739,-2.74072,-2.38279,2.68569,-29.736,2.93992,2.36376,3.70838,-29.9527,2.81779,0.141818,0.777477,-1.68061,-0.141982,0.781932,-1.67733,0.0634541,-0.76966,1.68809,-0.0634669,-0.776292,1.68605,0.131789,0.76905,-1.63966,-0.132088,0.772493,-1.63643,0.0588812,-0.763619,1.64643,-0.0589581,-0.768954,1.64425,1.38776,1.37227,-1.47511,-1.40514,0,0,0,0,
-5.69303,-4.10497,30.8448,-2.83677,5.65548,-4.48629,30.5956,-2.8234,-2.61994,2.08486,-31.4615,3.00736,2.57487,3.03005,-31.3371,2.86031,-5.63274,-4.14963,30.7492,-2.83171,5.58634,-4.53687,30.5047,-2.81964,-2.58887,2.13904,-31.3718,3.01167,2.54589,3.07873,-31.2394,2.86643,0.142288,0.777831,-1.68541,-0.142451,0.782285,-1.68205,0.0636714,-0.769636,1.69294,-0.0636822,-0.776434,1.69089,0.131098,0.769136,-1.6393,-0.131396,0.772561,-1.63608,0.0585726,-0.763733,1.64603,-0.0586491,-0.76904,1.64386,1.41839,1.4117,-1.50368,-1.43015,0,0,0,0,
